t,x,y,z,u,v,w,x_dot,y_dot,z_dot,u_dot,v_dot,w_dot
2.6725,3.57983456658577,-7.312631129754115,18.535352785894283,170.9911536322286,-43.74475914748157,353.85589277392717,62.06649666882974,84.93926153483103,-75.6062349651292,-35.448955849123394,-21.937893389262342,-369.1775718988665
9.0015,5.8712187596478165,-0.0361414606426817,33.793924403565185,-30.71755949778328,2.4282613763808554,-53.96798103445842,-89.79116170068826,-36.409517565931374,-90.33045262871366,31.93892128657649,-0.1084243819280451,-498.38707318551974
5.8865,8.755232590056496,12.687346837912028,39.306660208463356,-129.6329718792877,8.563561331073013,-283.6312707058126,-90.31182940073239,-120.24334811081836,6.261601738728373,-369.06425922544236,38.06204051373608,-2259.1264704143214
1.8900000000000001,-1.4469814427553966,-9.963754929618045,9.956397580434675,83.37979070539659,-11.168931157368737,93.23301100379948,-1.787944163229895,-4.976071774580619,-12.133356944425236,15.823314767896576,-29.891264788854134,-102.16776360163453
7.5615000000000006,14.985483306308025,20.19058897635293,27.762847402443395,-5.724499786246225,2.548806275269658,28.973278807304194,46.32655691420284,-19.18554895989049,228.53054888156785,-554.823740929696,60.571766929058796,-448.66120209391573
4.3795,-11.11050803555674,-3.5123151215573882,10.170285858685371,-167.5231908662295,-2.5853131724306158,-269.33488911382483,-91.54126172623599,-191.99955394476783,11.902504082114529,203.2444396782514,-10.536945364672164,989.5901520695841
6.3580000000000005,-19.018766739889728,-6.620870904984489,36.938009417916824,-71.98768946480965,7.935891615063534,-286.3559040796745,51.99126888424274,168.67489552821857,27.4182096420638,316.5494813079382,-19.862612714953467,204.47708937153402
4.9205000000000005,-17.061519131990266,-16.508341354101976,26.948729074832777,-58.38749507337209,-9.92562069107307,-158.3972570114886,-52.85571729448918,8.497683042529369,209.79320602658038,503.2663136999243,-49.52502406230593,10.503784024448123
5.0405,-12.509366307761246,-0.5972900908935697,35.697949994779,-16.09765963504091,-13.370472744750552,-114.14167602999446,103.02310253363585,110.26423913916341,-87.7240027120935,37.41969143213656,-1.791870272680709,566.7633116152819
9.0905,0.27654205990033986,-0.959868143601734,26.528211476340253,-26.229177848494505,2.229543512112507,-71.37316126902812,-38.593279883515244,-0.862663938440227,-71.0082254576209,51.692762951363434,-2.879604430805202,17.91843587487972
7.194,0.483880772634043,-2.6869078227482652,17.369752480655343,44.42477890963929,-4.2143268906823295,87.38967004006538,12.71689295581621,12.045007096382207,-47.62006197343149,2.2461449098346336,-8.060723468244795,-102.2492867323815
